UCUM code | QUDT item requested
m2.Hz2 | unit:M2-HZ2
m2.Hz3 | unit:M2-HZ3
m2.Hz4 | unit:M2-HZ4
m2.Hz-2 | unit:M2-PER-HZ2
umol.umol-1.d-1 | unit:MicroMOL-PER-MicroMOL-DAY
{#}.h-1 | unit:NUM-PER-HR
nBq.L-1 | unit:NanoBQ-PER-L
{#}.m-2.d-1 | unit:NUM-PER-M2-DAY
ng.L-1 | unit:NanoGM-PER-L
ng.d-1 | unit:NanoGM-PER-DAY
nmol.L-1.d-1 | unit:NanoMOL-PER-L-DAY
nmol.L-1.h-1 | unit:NanoMOL-PER-L-HR
{#}.g-1 | unit:NUM-PER-GM
ng | unit:NanoGM
ng.uL-1 | unit:NanoGM-PER-MicroL
pA.umol-1.L-1 | unit:PicoA-PER-MicroMOL-L
Cel.m-1 | unit:DEG_C-PER-M
%.d-1 | unit:PERCENT-PER-DAY
%.h-1 | unit:PERCENT-PER-HR
%.wk-1 | unit:PERCENT-PER-WK
fmol.L-1 | unit:FemtoMOL-PER-L
pmol.m-3 | unit:PicoMOL-PER-M3
pmol.m-2.d-1 | unit:PicoMOL-PER-M2-DAY
pmol.L-1.h-1 | unit:PicoMOL-PER-L-HR
pmol.L-1 | unit:PicoMOL-PER-L
{#}.m-3 | unit:NUM-PER-M3
{#}.m-2 | unit:NUM-PER-M2
%.m-1 | unit:PERCENT-PER-M
umol.L-1 | unit:MicroMOL-PER-L
s-2 | unit:PER-SEC2
[ppth].h-1 | unit:PPTH-PER-HR
pmol.m-3.s-1 | unit:PicoMOL-PER-M3-SEC
pmol.m-1.W-1.s-1 | unit:PicoMOL-PER-M-W-SEC
um2.mL-1 | unit:MicroM-PER-MilliL
[pptr]{vol} | ~unit:PPTR
uBq.L-1 | unit:MicroBQ-PER-L
ug.m-2.d-1 | unit:MicroGM-PER-M2-DAY
[pH] | <https://github.com/qudt/qudt-public-repo/issues/267>
umol.m-2.d-1 | unit:MicroMOL-PER-M2-DAY
{#}.cm-2.ka-1 | unit:NUM-PER-CentiM-KiloYR
uBq.kg-1 | unit:MicroBQ-PER-KiloGM
W.m-2.nm-1 | unit:W-PER-M2-NanoM
W.m-2.nm-1.sr-1 | unit:W-PER-M2-NanoM-SR
W.m-1 | unit:W-PER-M
W.m-2.m-1 | unit:W-PER-M2-M
W.m-2.m-1.sr-1 | unit:W-PER-M2-M-SR
W.m-2.m.sr-1 | unit:W-M-PER-M2-SR
W.s.m-2 | unit:W-SEC-PER-M2
