subject_id	predicate_id	object_id	mapping_justification
unit:ERG-PER-SEC	skos:exactMatch	eclass:IRDI_0173_1_05_AAB020_002	semapv:ManualMappingCuration
unit:FARAD-PER-M	skos:exactMatch	eclass:IRDI_0173_1_05_AAA142_003	semapv:ManualMappingCuration
unit:FT-PER-SEC2	skos:exactMatch	eclass:IRDI_0173_1_05_AAA225_003	semapv:ManualMappingCuration
unit:FT-LB_F-PER-SEC	skos:exactMatch	eclass:IRDI_0173_1_05_AAB011_002	semapv:ManualMappingCuration
unit:A-SEC	skos:exactMatch	eclass:IRDI_0173_1_05_AAA030_003	semapv:ManualMappingCuration
unit:GigaC-PER-M3	skos:exactMatch	eclass:IRDI_0173_1_05_AAA735_003	semapv:ManualMappingCuration
unit:GigaEV	skos:exactMatch	eclass:IRDI_0173_1_05_AAA545_003	semapv:ManualMappingCuration
unit:GigaHZ	skos:exactMatch	eclass:IRDI_0173_1_05_AAA505_003	semapv:ManualMappingCuration
unit:GigaOHM	skos:exactMatch	eclass:IRDI_0173_1_05_AAA671_003	semapv:ManualMappingCuration
unit:GigaPA	skos:exactMatch	eclass:IRDI_0173_1_05_AAA268_003	semapv:ManualMappingCuration
unit:GigaW	skos:exactMatch	eclass:IRDI_0173_1_05_AAA170_003	semapv:ManualMappingCuration
unit:GON	skos:exactMatch	eclass:IRDI_0173_1_05_AAB000_002	semapv:ManualMappingCuration
unit:GRAD	skos:exactMatch	eclass:IRDI_0173_1_05_AAB000_002	semapv:ManualMappingCuration
unit:GM-PER-M3	skos:exactMatch	eclass:IRDI_0173_1_05_AAA357_003	semapv:ManualMappingCuration
unit:GM-PER-MOL	skos:exactMatch	eclass:IRDI_0173_1_05_AAA011_003	semapv:ManualMappingCuration
unit:GRAY	skos:exactMatch	eclass:IRDI_0173_1_05_AAA232_003	semapv:ManualMappingCuration
unit:GRAY-PER-SEC	skos:exactMatch	eclass:IRDI_0173_1_05_AAA253_003	semapv:ManualMappingCuration
unit:HectoPA	skos:exactMatch	eclass:IRDI_0173_1_05_AAA259_003	semapv:ManualMappingCuration
unit:H-PER-M	skos:exactMatch	eclass:IRDI_0173_1_05_AAA784_003	semapv:ManualMappingCuration
unit:AC	skos:exactMatch	eclass:IRDI_0173_1_05_AAA554_003	semapv:ManualMappingCuration
unit:BYTE	skos:exactMatch	eclass:IRDI_0173_1_05_AAA766_003	semapv:ManualMappingCuration
unit:A-PER-M	skos:exactMatch	eclass:IRDI_0173_1_05_AAA550_003	semapv:ManualMappingCuration
unit:A-HR	skos:exactMatch	eclass:IRDI_0173_1_05_AAA300_003	semapv:ManualMappingCuration
unit:A	skos:exactMatch	eclass:IRDI_0173_1_05_AAA220_003	semapv:ManualMappingCuration
unit:YR	skos:exactMatch	eclass:IRDI_0173_1_05_AAA269_003	semapv:ManualMappingCuration
unit:YR	skos:exactMatch	eclass:IRDI_0173_1_05_AAA729_003	semapv:ManualMappingCuration
unit:ATM	skos:exactMatch	eclass:IRDI_0173_1_05_AAA323_004	semapv:ManualMappingCuration
unit:ATM_T	skos:exactMatch	eclass:IRDI_0173_1_05_AAA802_002	semapv:ManualMappingCuration
unit:BIT-PER-SEC	skos:exactMatch	eclass:IRDI_0173_1_05_AAA616_003	semapv:ManualMappingCuration
